status,site_name,address,city,zip,latitude,longitude
CLOSED,Glenn Harmon Elementary School Library,5700 Petra Drive,Arlington,76017,32.651766,-97.123844
CLOSED,Southwest Branch Library Community Room,3311 Southwest Green Oaks Boulevard,Arlington,76017,32.659038,-97.161241
CLOSED,Alpha International Seventh-day Adventist Church Fellowship Hall,6000 South Collins Street,Arlington,76018,32.6477,-97.088326
CLOSED,Pelican Bay City Hall Council Chambers,1300 Pelican Circle,Pelican Bay,76020,32.915816,-97.517882
CLOSED,Airport Area YMCA Gymnasium,3524 Central Drive,Bedford,76021,32.858292,-97.131547
CLOSED,First United Methodist Church Lobby & Hallways,1245 Bedford Road,Bedford,76021,32.839815,-97.14943
CLOSED,"Freedom Church Lobby, Hallway",701 Harwood Road,Bedford,76021,32.853626,-97.157559
CLOSED,St. Michael Catholic Church Formation Center,3713 East Harwood Road,Bedford,76021,32.852104,-97.106164
CLOSED,Oak Grove Baptist Church Gym,12351 Oak Grove Road South,Burleson,76028,32.576773,-97.290504
CLOSED,Colleyville Public Library 2nd Floor,110 Main Street,Colleyville,76034,32.884683,-97.156884
CLOSED,Covenant Church Community Room,3508 Glade Road,Colleyville,76034,32.881822,-97.11144
CLOSED,First Baptist Church of Crowley Gym,400 Eagle Drive South,Crowley,76036,32.579434,-97.379758
CLOSED,Lakewood Elementary School Music Room,1600 Donley Drive,Euless,76039,32.859634,-97.095551
CLOSED,Life Connection Church Lobby,208 Nutmeg Lane,Euless,76039,32.878354,-97.080672
CLOSED,Calvary Baptist Church Family Life Center / Gym,304 Calvary Drive,Euless,76040,32.834203,-97.103569
CLOSED,St. John Missionary Baptist Church Family Center,3324 House Anderson Road,Euless,76040,32.808145,-97.122881
CLOSED,Cross Timbers Middle School Gym 2,2301 Pool Road,Grapevine,76051,32.913684,-97.125605
CLOSED,Dove Elementary School Gym,1932 Dove Road,Grapevine,76051,32.954847,-97.096508
CLOSED,Grapevine Elementary School Gym,1801 Hall-Johnson Road,Grapevine,76051,32.893184,-97.09687
CLOSED,Heritage Elementary School Gym,4500 Heritage Avenue,Grapevine,76051,32.888457,-97.105548
CLOSED,St. Francis Catholic Church Parish Hall,861 Wildwood Lane,Grapevine,76051,32.950953,-97.138034
CLOSED,Timberline Elementary School Library,3220 Timberline Drive,Grapevine,76051,32.913081,-97.115822
CLOSED,Sendera Ranch Rancho Canyon Clubhouse Main Room,556 Rancho Canyon Way,Haslet,76052,,
CLOSED,Impact Mission Church Fellowship Hall,745 Brown Trail,Hurst,76053,32.822849,-97.164561
CLOSED,North Pointe Baptist Church of Hurst Family Life Center,147 East Hurst Boulevard,Hurst,76053,32.808641,-97.168117
CLOSED,Kennedale Community Center Community Center,316 West 3rd Street,Kennedale,76060,32.647156,-97.225651
CLOSED,Dr. Jim Vaszauskas Center for the Performing Arts Lab B,1110 West Debbie Lane,Mansfield,76063,32.591646,-97.159498
CLOSED,Linda Jobe Middle School Foyer,2491 Gertie Barrett Road,Mansfield,76063,32.602349,-97.176422
CLOSED,Regal Oak Counseling Training Room,"1285 North Main Street, Suite 102",Mansfield,76063,32.582329,-97.153444
CLOSED,Roberta Tipps Elementary School Library,3001 North Walnut Creek Drive,Mansfield,76063,32.599095,-97.1316
CLOSED,Carroll Senior High School Art Facility,1501 West Southlake Boulevard,Southlake,76092,32.941181,-97.162793
CLOSED,New Day Church Event Center,101 East Highland Street,Southlake,76092,32.956144,-97.150908
CLOSED,Christ Cathedral Church Event Center / Cafe Area,3201 Purington Avenue,Fort Worth,76103,32.74278,-97.279349
CLOSED,Sagamore Hill Elementary School Hallway in Learning Zone,701 South Hughes Avenue,Fort Worth,76103,32.737302,-97.256607
CLOSED,Victory Temple Worship Center Cafeteria,2001 Oakland Boulevard,Fort Worth,76103,32.748435,-97.261579
CLOSED,Fire Station Community Center West Half of Gymnasium,1601 Lipscomb Street,Fort Worth,76104,32.727042,-97.333237
CLOSED,Fort Worth Event Center Small Banquet Hall,2100 Evans Avenue,Fort Worth,76104,32.722587,-97.318424
CLOSED,Kingdom Manifesters Church Conference Room / Sanctuary,2401 McCurdy Street,Fort Worth,76104,32.718416,-97.298097
CLOSED,Southside Community Center Hazel B,959 East Rosedale Street,Fort Worth,76104,32.732314,-97.316705
CLOSED,Van Zandt-Guinn Elementary School Cafeteria,600 Kentucky Avenue,Fort Worth,76104,32.738652,-97.317816
CLOSED,D. McRae Elementary School Back Wing - Science Lab,3316 Avenue N,Fort Worth,76105,32.72346,-97.277788
CLOSED,Grace Temple Seventh-Day Adventist Church Fellowship Hall,4200 East Berry Street,Fort Worth,76105,32.713771,-97.261458
CLOSED,Rising Star Baptist Church Chapel,4216 Avenue M,Fort Worth,76105,32.72337,-97.26139
CLOSED,Connell Baptist Church Foyer,4736 Bryce Avenue,Fort Worth,76107,32.739593,-97.390334
CLOSED,International Newcomer Academy Gym,3813 Valentine Street,Fort Worth,76107,32.731839,-97.373071
CLOSED,Jo Kelly School Gym,201 North Bailey Avenue,Fort Worth,76107,32.760126,-97.370824
CLOSED,Blue Haze Elementary School Multi-Purpose Room,601 Blue Haze Drive,Fort Worth,76108,32.751714,-97.502128
CLOSED,Grace Baptist Church Lobby / Foyer,1501 Jim Wright Freeway,Fort Worth,76108,32.784649,-97.465551
CLOSED,Trinity Chapel Worship Center / Sanctuary,6610 Southwest Boulevard,Benbrook,76109,32.694718,-97.421973
CLOSED,Congregation Ahavath Sholom Zale Auditorium,4050 South Hulen Street,Fort Worth,76109,32.688702,-97.393506
CLOSED,McLean 6th Grade School Auditorium,3201 South Hills Avenue,Fort Worth,76109,32.696247,-97.364044
CLOSED,St. Stephen Presbyterian Church Parish Hall,2700 McPherson Avenue,Fort Worth,76109,32.712836,-97.35529
CLOSED,Tanglewood Elementary School Cafeteria,3060 Overton Park Drive West,Fort Worth,76109,32.706144,-97.385294
CLOSED,George C. Clarke Elementary School Gym,3300 South Henderson Street,Fort Worth,76110,32.702237,-97.337574
CLOSED,Grace Fellowship Baptist Church Conference Room,3801 McCart Avenue,Fort Worth,76110,32.692787,-97.352903
CLOSED,Richard J. Wilson Elementary School Auditorium,900 West Fogg Street,Fort Worth,76110,32.691049,-97.334313
CLOSED,Worth Heights Elementary School Library,519 East Butler Street,Fort Worth,76110,32.695352,-97.321871
CLOSED,Riverside Applied Learning Center Gym,3600 Fossil Drive,Fort Worth,76111,32.804036,-97.295627
CLOSED,Springdale Baptist Church Fellowship Hall,3016 Selma Street,Fort Worth,76111,32.789418,-97.303085
CLOSED,Springdale Elementary School Auditorium,3207 Hollis Street,Fort Worth,76111,32.791684,-97.300686
CLOSED,Versia L. Williams Elementary School Library,901 Baurline Street,Fort Worth,76111,32.757991,-97.306229
CLOSED,Atwood McDonald Elementary School Gym,1850 Barron Lane,Fort Worth,76112,32.751812,-97.207438
CLOSED,Eastern Hills High School Main Lobby,5701 Shelton Street,Fort Worth,76112,32.74756,-97.233495
CLOSED,Legacy Fellowship Church Fellowship Hall,5320 Norma Street,Fort Worth,76112,32.743315,-97.239506
CLOSED,New Life Baptist Deaf Fellowship Fellowship / Kitchen,6917 Brentwood Stair Road,Fort Worth,76112,32.754373,-97.210418
CLOSED,Paul Laurence Dunbar High School Front Foyer,5700 Ramey Avenue,Fort Worth,76112,32.720427,-97.231951
CLOSED,St. Matthew United Methodist Church Fellowship Hall,2414 Hitson Lane,Fort Worth,76112,32.743467,-97.194409
